Column1,short_description,label,processed_text
79, पत्नी द्वारा प्रेमिका के साथ आपत्तिजनक अवस्था में पकड़ा गया ये शख्स बीजेपी विधायक नहीं,0,पतन दवर परमक क सथ आपततजनक अवसथ म पकड़ गय य शखस बजप वधयक नह
80, वर्ल्ड कप में बेईमानी के चलते ट्रेविस हेड पर जुर्माना लगने की बात पूरी तरह मनगढ़ंत है,0,वरलड कप म बईमन क चलत टरवस हड जरमन लगन क बत मनगढत ह
81, झूठा है वर्ल्डकप फाइनल के अंपायर रिचर्ड केटलब्रॉ की मौत का दावा,0,झठ ह वरलडकप फइनल क अपयर रचरड कटलबर क मत क दव
82," सुरंग से मजदूरों को निकालने का नहीं, ये सिर्फ एक मॉक ड्रिल का वीडियो है",0,सरग स मजदर क नकलन क नह य सरफ मक डरल क वडय ह
83, मनचले को पीट रहीं छात्राओं का पांच साल पुराना वीडियो झूठे सांप्रदायिक दावे के साथ वायरल,0,मनचल क पट रह छतरओ क पच सल परन वडय झठ सपरदयक दव क सथ वयरल
84," हूती के इजरायली पनडुब्बी पर कब्जा करने वाले दावे पर न करें यकीन, ये वीडियो पुराना है",0,हत क इजरयल पनडबब कबज करन वल दव न यकन य वडय परन ह
85, अशोक गहलोत की रैली में मोदी-मोदी के नारे? असम सीएम और कइयों ने आगे बढ़ाया फर्जी वीडियो,0,अशक गहलत क रल म मदमद क नर असम सएम कइय न आग बढय फरज वडय
86, पूरी तरह मनगढ़ंत है विश्व कप का फाइनल मैच दोबारा कराए जाने की बात,0,मनगढत ह वशव कप क फइनल मच दबर करए जन क बत
87, क्या कोका-कोला की बोतलें हटाकर डेविड वॉर्नर ने किया फिलिस्तीन का समर्थन? भ्रामक है ये पोस्ट,0,कय कककल क बतल हटकर डवड वरनर न कय फलसतन क समरथन भरमक ह य पसट
88," ट्रेविस हेड के हाथों से नहीं छूटा था रोहित शर्मा का कैच, फर्जी फोटो के जरिये किया जा रहा बेईमानी का दावा",0,टरवस हड क हथ स नह छट थ रहत शरम क कच फरज फट क जरय कय ज रह बईमन क दव
89, पाकिस्तान से आईं सीमा हैदर के पति सचिन की हत्या का दावा बेबुनियाद है,0,पकसतन स आई सम हदर क पत सचन क हतय क दव बबनयद ह
90, विश्व कप में बांग्लादेश की हार के बाद कप्तान शाकिब के साथ हुई धक्का-मुक्की? जानें सच,0,वशव कप म बगलदश क हर क बद कपतन शकब क सथ हई धककमकक जन सच
91, मनमोहन सिंह की पाकिस्तानी खिलाड़ियों से मुलाकात की फोटो गलत संदर्भ में हुई वायरल,0,मनमहन सह क पकसतन खलडय स मलकत क फट गलत सदरभ म हई वयरल
92, मुस्लिम महिला को थप्पड़ मारती यूपी पुलिसकर्मी का पुराना वीडियो एमपी चुनाव का बताकर वायरल,0,मसलम महल क थपपड मरत यप पलसकरम क परन वडय एमप चनव क बतकर वयरल
93, टॉपलेस फैन का ये वीडियो 2023 क्रिकेट वर्ल्ड कप का नहीं है,0,टपलस फन क य वडय 2023 करकट वरलड कप क नह ह
94," राहुल गांधी ने नहीं किया भारत माता का अपमान, उनके भाषण का ये वीडियो अधूरा है",0,रहल गध न नह कय भरत मत क अपमन उनक भषण क य वडय अधर ह
95," दूसरे विश्व युद्ध के दौरान इंग्लैंड में बने बंकर का वीडियो, हमास की सुरंग का बताकर हुआ वायरल",0,दसर वशव यदध क दरन इगलड म बन बकर क वडय हमस क सरग क बतकर हआ वयरल
96," हमास समर्थकों को पीटती इजरायली लड़कियां नहीं हैं ये, स्क्रिप्टेड वीडियो से फैलाया जा रहा भ्रम",0,हमस समरथक क पटत इजरयल लडकय नह ह य सकरपटड वडय स फलय ज रह भरम
97," राम मंदिर का नहीं, काले कपड़े पहनकर कांग्रेस नेताओं ने किया था महंगाई-बेरोजगारी का विरोध",0,रम मदर क नह कपड पहनकर कगरस नतओ न कय थ महगईबरजगर क वरध
98, फर्जी वीडियो के जरिए कही जा रही AAP नेताओं के गालियों पर नाचने की बात,0,फरज वडय क जरए कह ज रह AAP नतओ क गलय नचन क बत
99, क्या फिलिस्तीनी लोगों ने किया इजरायली कंपनी पर कब्जा? इस वीडियो की कहानी कुछ और है,0,कय फलसतन लग न कय इजरयल कपन कबज वडय क कहन कछ ह
100," मायावती ने नहीं किया एमपी चुनावों में बीजेपी को समर्थन देने का ऐलान, वायरल वीडियो एडिटेड है",0,मयवत न नह कय एमप चनव म बजप क समरथन दन क ऐलन वयरल वडय एडटड ह
101, पेड़ से बंधे राजस्थान बीजेपी नेताओं के वीडियो की कहानी ये नहीं जो बताई जा रही है,0,पड स बध रजसथन बजप नतओ क वडय क कहन य नह ज बतई ज रह ह
102, क्या हथियारों से भरे कमरे का ये वीडियो गाजा के अल-शिफा अस्पताल का है? सच कुछ और है,0,कय हथयर स भर कमर क य वडय गज क अलशफ असपतल क ह सच कछ ह
103, केबीसी शो के नकली वीडियो चुनाव में कैसे बना रहे हैं लोगों को बेवकूफ,0,कबस श क नकल वडय चनव म कस बन रह ह लग क बवकफ
104, पश्चिम बंगाल में बीजेपी नेता के खदेड़े जाने का पुराना वीडियो अब एमपी का बताकर हुआ वायरल,0,पशचम बगल म बजप नत क खदड़ जन क परन वडय एमप क बतकर हआ वयरल
105, बांग्लादेश का स्क्रिप्टेड वीडियो लव जिहाद के झूठे दावे के साथ वायरल,0,बगलदश क सकरपटड वडय लव जहद क झठ दव क सथ वयरल
106, झारखंड में हुई मॉक ड्रिल का वीडियो मंदसौर गोलीकांड का बता कर किया जा रहा शेयर,0,झरखड म हई मक डरल क वडय मदसर गलकड क बत कय ज रह शयर
107," साधु-संतों ने शिवराज सरकार के पक्ष में प्रचार करने से नहीं किया इंकार, ये वीडियो एडिटेड है",0,सधसत न शवरज सरकर क पकष म परचर करन स नह कय इकर य वडय एडटड ह
108, टैंक में धमाके का सालों पुराना वीडियो इजरायल-हमास जंग का बताकर हुआ वायरल,0,टक म धमक क सल परन वडय इजरयलहमस जग क बतकर हआ वयरल
109, बिहार में एक बूढ़े आदमी को अपनी बेटी बेचने वाली महिला का ये वीडियो स्क्रिप्टेड है,0,बहर म बढ़ आदम क अपन बट बचन वल महल क य वडय सकरपटड ह
110, फिलिस्तीन के अलग-अलग इलाकों में इस बच्ची को रेस्क्यू करते हुए फर्जी फोटो खिंचाने की बात है बेबुनियाद,0,फलसतन क अलगअलग इलक म बचच क रसकय करत हए फरज फट खचन क बत ह बबनयद
111, गरबा कर रहे पीएम मोदी जैसे दिखने वाले इस शख्स के वीडियो से चकमा खा गए लोग,0,गरब रह पएम मद जस दखन वल शखस क वडय स चकम ख लग
112, अखिलेश की रैली में उमड़ी भीड़ का दो साल पुराना वीडियो अब एमपी चुनाव के एंगल से हो रहा शेयर,0,अखलश क रल म उमड भड क द सल परन वडय एमप चनव क एगल स ह रह शयर
113, गेमिंग का वीडियो हिज्बुल्लाह के इजरायली टैंक पर हमले का बताकर हुआ वायरल,0,गमग क वडय हजबललह क इजरयल टक हमल क बतकर हआ वयरल
114, राहुल गांधी की केदारनाथ यात्रा में सचमुच लगे थे 'मोदी-मोदी' के नारे,0,रहल गध क कदरनथ यतर म सचमच लग थ मदमद क नर
115," पीएम मोदी ने हिंदुत्व को ‘नहीं’ बताया था चुनावी ताश का पत्ता, एडिटेड है ये वीडियो",0,पएम मद न हदतव क नह बतय थ चनव तश क पतत एडटड ह य वडय
116," कमलनाथ ने नहीं की ये योजना बंद करने की बात, फर्जी है वायरल वीडियो",0,कमलनथ न नह क य यजन बद करन क बत फरज ह वयरल वडय
117, मराठा आरक्षण की खातिर इन बच्चों ने किन नेताओं के पोस्टर पर निकाला अपना गुस्सा?,0,मरठ आरकषण क खतर बचच न कन नतओ क पसटर नकल अपन गसस
118," वापस देश लौटे अफगानियों पर तालिबान की बर्बरता का नहीं, ये पाकिस्तानी पुलिस के लाठीचार्ज का वीडियो है",0,वपस दश लट अफगनय तलबन क बरबरत क नह य पकसतन पलस क लठचरज क वडय ह
119," ये हमास का इजरायली सेना पर हमले का नहीं, तीन साल पहले गाजा में हुई मॉक ड्रिल का वीडियो है",0,य हमस क इजरयल सन हमल क नह तन सल पहल गज म हई मक डरल क वडय ह
120, क्या इस शख्स ने कर्नाटक में कांग्रेस से परेशान होकर काट ली अपनी उंगली? सच कुछ और है,0,कय शखस न करनटक म कगरस स परशन हकर कट ल अपन उगल सच कछ ह
121, साउथ अफ्रीका की जीत का जश्न मनाते पाकिस्तानी बॉ​लिंग कोच का नहीं है ये वीडियो,0,सउथ अफरक क जत क जशन मनत पकसतन बलग कच क नह ह य वडय
122, पिस्तौल-राइफल चलाते बच्चों के इस वीडियो के 'फिलिस्तीन कनेक्शन' की बात सही नहीं है,0,पसतलरइफल चलत बचच क वडय क फलसतन कनकशन क बत सह नह ह
123, क्या रैली में महिला से बीजेपी नेता ने की छेड़खानी? पाकिस्तान के वीडियो को एडिट करके फैलाया जा रहा भ्रम,0,कय रल म महल स बजप नत न क छडखन पकसतन क वडय क एडट करक फलय ज रह भरम
124," यूपी के हरदोई में हमास समर्थकों की गिरफ्तारी नहीं दिखाता ये वीडियो, इसकी कहानी कुछ और है",0,यप क हरदई म हमस समरथक क गरफतर नह दखत य वडय इसक कहन कछ ह
125," छत ढकने वाली तकनीक से लैस स्टेडियम का ये दिलचस्प वीडियो लखनऊ के इकाना का नहीं, कनाडा का है",0,छत ढकन वल तकनक स लस सटडयम क य दलचसप वडय लखनऊ क इकन क नह कनड क ह
126, क्या एमपी-राजस्थान में मायावती हैं सीएम पद की पहली पसंद? ये है वायरल सर्वे का सच,0,कय एमपरजसथन म मयवत ह सएम पद क पहल पसद य ह वयरल सरव क सच
127, आगामी चुनाव में बीजेपी की हार का अंदेशा जताते सीएम शिवराज का ये वीडियो एडिटेड है,0,आगम चनव म बजप क हर क अदश जतत सएम शवरज क य वडय एडटड ह
128, महिला को उसी के बच्चे का मांस खिलाने वाला ये हैवानियत भरा वाकया हमास से जुड़ा नहीं है,0,महल क क बचच क मस खलन वल य हवनयत भर वकय हमस स जड नह ह
129, क्या अफगानिस्तान के क्रिकेट फैंस ने बंदूकों के साथ मनाया पाकिस्तान को हराने का जश्न? इस वीडियो की कहानी कुछ और ही है,0,कय अफगनसतन क करकट फस न बदक क सथ मनय पकसतन क हरन क जशन वडय क कहन कछ ह ह
